Species,PlantGeno,Isolate,PlantID,LeafID,LeafPos,Experiment,Replicate,AgarFlat,Lesion.Size,pixelsPERcm
Dm,LA3008,Geranium,1,3,B,96a,96a208b,208b-1b.jpg,315,92.3472
Dm,LA3008,Fd1,3,1,B,96b,96b208b,208b-3a.jpg,6340,86.4356
Dm,LA3008,1.04.25,4,3,A,96a,96a208b,208b-5b.jpg,0.690067135,91.5341
Dm,LA3008,1.05.22,4,1,A,96a,96a208a,208a-5b.jpg,2836,92.3857
Dm,LA3008,2.04.20,3,1,B,96a,96a127,127-3b.jpg,1732,92.0014
Dm,LA3008,2.04.20,6,1,B,96b,96b208b,208b-8a.jpg,6412,86.4653
Dm,LA3008,Grape,3,2,B,96b,96b127,127-3b.jpg,3440,85.4437
Dm,LA3008,1.02.17,5,5,A,96a,96a208a,208a-8b.jpg,7348,91.4142
Dm,LA3008,1.02.01,1,2,A,96b,96b127,127-1b.jpg,13340,86.6692
Dm,LA3008,1.03.18,1,2,A,96a,96a208a,208a-1b.jpg,2235,92.3072
Dm,LA3008,2004,4,4,A,96a,96a127,127-6b.jpg,1799,92.5569
Dm,LA3008,2.04.11,4,4,B,96a,96a208a,208a-6b.jpg,1046,93.0568
Dm,LA3008,2.04.04,6,1,B,96b,96b208a,208a-8b.jpg,16596,85.4751
Dm,LA3008,Gallo2,3,5,B,96a,96a127,127-4b.jpg,431,93.0272
Dm,LA3008,1.05.22,4,1,A,96b,96b127,127-5b.jpg,1902,85.3383
Dm,LA3008,1.01.06,2,2,A,96a,96a127,127-2b.jpg,9959,93.6815
Dm,LA3008,1.03.22,4,3,A,96a,96a208a,208a-5b.jpg,8428,92.3857
Dm,LA3008,2.04.12,3,1,B,96a,96a208b,208b-3b.jpg,0.871772818,92.0386
Dm,LA3008,FresaSD,5,5,B,96b,96b127,127-8b.jpg,2063,87.0638
Dm,LA3008,1.03.02,4,5,A,96a,96a127,127-6b.jpg,4629,92.5569
Dm,LA3008,1.02.05,6,1,A,96a,96a127,127-8b.jpg,2952,91.8144
